scheme_code,scheme_name,date,nav
119092,HDFC Money Market Fund - Growth Option - Direct Plan,27-09-2021,4562.3516
119092,HDFC Money Market Fund - Growth Option - Direct Plan,24-09-2021,4561.197
119092,HDFC Money Market Fund - Growth Option - Direct Plan,23-09-2021,4561.2573
119092,HDFC Money Market Fund - Growth Option - Direct Plan,22-09-2021,4560.91
119092,HDFC Money Market Fund - Growth Option - Direct Plan,21-09-2021,4560.642
119092,HDFC Money Market Fund - Growth Option - Direct Plan,20-09-2021,4560.279
119092,HDFC Money Market Fund - Growth Option - Direct Plan,17-09-2021,4559.0493
119092,HDFC Money Market Fund - Growth Option - Direct Plan,16-09-2021,4558.655
119092,HDFC Money Market Fund - Growth Option - Direct Plan,15-09-2021,4558.2017
119092,HDFC Money Market Fund - Growth Option - Direct Plan,14-09-2021,4557.82
119092,HDFC Money Market Fund - Growth Option - Direct Plan,13-09-2021,4557.422
119092,HDFC Money Market Fund - Growth Option - Direct Plan,09-09-2021,4555.638
119092,HDFC Money Market Fund - Growth Option - Direct Plan,08-09-2021,4555.4087
119092,HDFC Money Market Fund - Growth Option - Direct Plan,07-09-2021,4555.024
119092,HDFC Money Market Fund - Growth Option - Direct Plan,06-09-2021,4554.554
119092,HDFC Money Market Fund - Growth Option - Direct Plan,03-09-2021,4553.274
119092,HDFC Money Market Fund - Growth Option - Direct Plan,02-09-2021,4552.8057
119092,HDFC Money Market Fund - Growth Option - Direct Plan,01-09-2021,4552.2256
119092,HDFC Money Market Fund - Growth Option - Direct Plan,31-08-2021,4551.499
119092,HDFC Money Market Fund - Growth Option - Direct Plan,30-08-2021,4550.9194
119092,HDFC Money Market Fund - Growth Option - Direct Plan,27-08-2021,4549.409
119092,HDFC Money Market Fund - Growth Option - Direct Plan,26-08-2021,4548.891
119092,HDFC Money Market Fund - Growth Option - Direct Plan,25-08-2021,4548.137
119092,HDFC Money Market Fund - Growth Option - Direct Plan,24-08-2021,4547.563
119092,HDFC Money Market Fund - Growth Option - Direct Plan,23-08-2021,4547.064
119092,HDFC Money Market Fund - Growth Option - Direct Plan,20-08-2021,4545.6084
119092,HDFC Money Market Fund - Growth Option - Direct Plan,18-08-2021,4544.369
119092,HDFC Money Market Fund - Growth Option - Direct Plan,17-08-2021,4543.6675
119092,HDFC Money Market Fund - Growth Option - Direct Plan,13-08-2021,4541.514
119092,HDFC Money Market Fund - Growth Option - Direct Plan,12-08-2021,4540.6885
119092,HDFC Money Market Fund - Growth Option - Direct Plan,11-08-2021,4540.041
119092,HDFC Money Market Fund - Growth Option - Direct Plan,10-08-2021,4539.454
119092,HDFC Money Market Fund - Growth Option - Direct Plan,09-08-2021,4538.837
119092,HDFC Money Market Fund - Growth Option - Direct Plan,06-08-2021,4537.4717
119092,HDFC Money Market Fund - Growth Option - Direct Plan,05-08-2021,4537.177
119092,HDFC Money Market Fund - Growth Option - Direct Plan,04-08-2021,4536.662
119092,HDFC Money Market Fund - Growth Option - Direct Plan,03-08-2021,4536.3555
119092,HDFC Money Market Fund - Growth Option - Direct Plan,02-08-2021,4535.6836
119092,HDFC Money Market Fund - Growth Option - Direct Plan,30-07-2021,4534.3984
119092,HDFC Money Market Fund - Growth Option - Direct Plan,29-07-2021,4533.95
119092,HDFC Money Market Fund - Growth Option - Direct Plan,28-07-2021,4533.51
119092,HDFC Money Market Fund - Growth Option - Direct Plan,27-07-2021,4533.123
119092,HDFC Money Market Fund - Growth Option - Direct Plan,26-07-2021,4532.551
119092,HDFC Money Market Fund - Growth Option - Direct Plan,23-07-2021,4531.099
119092,HDFC Money Market Fund - Growth Option - Direct Plan,22-07-2021,4530.365
119092,HDFC Money Market Fund - Growth Option - Direct Plan,20-07-2021,4529.392
119092,HDFC Money Market Fund - Growth Option - Direct Plan,19-07-2021,4528.742
119092,HDFC Money Market Fund - Growth Option - Direct Plan,16-07-2021,4527.471
119092,HDFC Money Market Fund - Growth Option - Direct Plan,15-07-2021,4526.8604
119092,HDFC Money Market Fund - Growth Option - Direct Plan,14-07-2021,4526.222
